Region,Year,AAR,Female_Literacy,Urban_pct,Screening_Coverage,Obesity_pct,Tobacco_use_pct,Alcohol_use_pct,Screening_pct,Beds_per_1000
Hyderabad district,2017,46.40000000000009,65.1,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Hyderabad district,2018,47.20000000000027,65.1,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Hyderabad district,2019,48.00000000000068,65.1,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Hyderabad district,2020,48.800000000000864,65.1,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Hyderabad district,2021,49.60000000000127,65.1,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Hyderabad district,2022,50.400000000001455,65.1,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Hyderabad district,2023,51.20000000000164,65.1,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Hyderabad district,2024,52.000000000002046,65.1,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Mumbai,2012,46.0,85.6,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Mumbai,2013,46.8,85.6,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Mumbai,2014,47.6,85.6,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Mumbai,2015,48.4,85.6,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Mumbai,2016,49.2,85.6,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Mumbai,2017,50.000000000000455,85.6,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Mumbai,2018,50.80000000000064,85.6,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Mumbai,2019,51.60000000000082,85.6,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Mumbai,2020,52.40000000000123,85.6,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Mumbai,2021,53.20000000000141,85.6,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Mumbai,2022,54.00000000000159,85.6,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Mumbai,2023,54.800000000002,85.6,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Mumbai,2024,55.60000000000218,85.6,100.0,22.1,24.0,6.0,1.2,8.0,1.1
